Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,is_dnf
3316474,"Gotham Central, Book One: In the Line of Duty",Ed Brubaker,"Brubaker, Ed","Greg Rucka, Michael Lark, Lawrence Block, Kano",1401219233,9781401219239,4,DC Comics,Hardcover,240.0,2008.0,2003.0,2026/03/21,2024/01/03,"comics, read-2026","comics (#43), read-2026 (#8)",read,,,,1,0,False
216970870,Serial Killer Games,Kate  Posey,"Posey, Kate",,0593818512,9780593818510,4,Berkley,Paperback,384.0,2025.0,2025.0,2026/03/09,2025/09/21,"romance, read-2026","romance (#94), read-2026 (#7)",read,"esse livro me enganou tantas vezes, eu amei! os personagens são muito interessantes e engraçados! o romance é fofo demais e o enredo foi o que mais me prendeu, impossível não ser surpreendida por essa história.",,,1,0,False
46261182,"The Awakening (Zodiac Academy, #1)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,,,1,Dark Ink Publishing,Kindle Edition,436.0,2019.0,2019.0,,2023/05/26,"did-not-finish, read-2023","did-not-finish (#10), read-2023 (#25)",did-not-finish,"dnf @ 56%<br/><br/>who the fuck called this enemies to lovers?? these male love interests are constantly sexually assaulting these girls and doing horrific things to them. that’s literally the entire plot, nothing else happens at all, and it’s somehow justified because “they should just get strong enough to beat them up if they want it to stop”. this book made me sick, it’s absolute trash and the writing is awful. ",,,1,0,True
58100280,"The Cheat Sheet (The Cheat Sheet, #1)",Sarah       Adams,"Adams, Sarah",,,,1,,Kindle Edition,306.0,2021.0,2021.0,,2023/05/12,"romance, read-2023, did-not-finish","romance (#61), read-2023 (#10), did-not-finish (#9)",did-not-finish,"dnf @ 11%<br/><br/>we GET IT. bree is better/cooler/quirkier/smarter and every other woman in the world is stupid and annoying. couldn’t stand another page of this book, omfg.",,,0,0,True
123166205,Wild Like Us (Special Edition Paperback),Krista Ritchie,"Ritchie, Krista",Becca Ritchie,1950165590,9781950165599,1,K.B. Ritchie LLC,Paperback,462.0,2023.0,2020.0,2022/01/27,2022/01/27,"did-not-finish, read-2022","did-not-finish (#4), read-2022 (#17)",did-not-finish,"DNF @ 38% <br/><br/>this is the most uninteresting romance i’ve ever read with the most uninteresting characters i’ve ever seen, and i’m not even joking. this whole series was a train wreck but at least it was entertaining, this book was just sad to witness.",,,1,0,True
54189398,"The Spanish Love Deception (Love Deception, #1)",Elena  Armas,"Armas, Elena",,1668002531,9781668002537,2,Elena Armas,ebook,487.0,2021.0,2021.0,2021/09/30,2021/08/24,"romance, did-not-finish, read-2021","romance (#5), did-not-finish (#3), read-2021 (#110)",did-not-finish,dnf @ 34% oh my fucking god catalina is annoying this whole book is so ANNOYING.,,,1,0,True
49399658,Counting Down with You,Tashie Bhuiyan,"Bhuiyan, Tashie",,1335209972,9781335209979,2,Inkyard Press,Hardcover,464.0,2021.0,2021.0,2021/05/04,2021/01/28,"did-not-finish, read-2021","did-not-finish (#1), read-2021 (#65)",did-not-finish,dnf @ 53%<br/><br/>i wanted to love this book so bad,,,1,0,True
30144474,"Batgirl, Vol. 3: Point Blank",Kelley Puckett,"Puckett, Kelley",Various,1401265855,9781401265854,4,DC Comics,Paperback,288.0,2017.0,2003.0,2026/02/22,2026/02/15,comics,comics (#96),read,,,,1,0,False
27405513,"Batgirl, Vol. 2: To the Death",Kelley Puckett,"Puckett, Kelley",Various,1401263526,9781401263522,4,DC Comics,Paperback,320.0,2016.0,2002.0,2026/02/21,2026/02/15,comics,comics (#95),read,,,,1,0,False
25810117,"Batgirl, Vol. 1: Silent Knight",Kelley Puckett,"Puckett, Kelley","Scott E.  Peterson, Damion Scott, Chuck Dixon, Koi Turnbull, Dale Eaglesham, Mike Deodato, Robert Campanella, Pablo Raimondi",1401260721,9781401260729,4,DC Comics,Paperback,328.0,2001.0,2001.0,2026/02/20,2026/02/15,"comics, read-2026","comics (#97), read-2026 (#3)",read,"te amo cassandra cain!!! tem tantas histórias lindas, a arte deixa a desejar em alguns momentos (efeito dos anos 2000), mas é bonita! a relação da cass e da barbara é uma das minhas partes preferidas",,,1,0,False
24507092,To Hell and Back: The Last Train from Hiroshima (Asia/Pacific/Perspectives),Charles Pellegrino,"Pellegrino, Charles",,1442250585,9781442250581,5,Rowman & Littlefield Publishers,Hardcover,432.0,2015.0,2010.0,2026/02/26,2026/02/23,nonfiction,nonfiction (#18),read,"muito bem escrito, partiu meu coração! é aterrorizante pensar que algo assim já aconteceu e pode acontecer de novo. esse livro me fez pensar muito, acho que todos deveriam ler, apesar de ser tão pesado.",,,1,0,False
61049,Autobiography of Red,Anne Carson,"Carson, Anne",Stesichorus,037570129,9780375701290,5,Vintage Books,Paperback,160.0,1999.0,1998.0,2026/02/22,2024/09/16,read-2026,read-2026 (#6),read,"eu amei, é muito emocionante e surpreendente! o tipo de livro que você relê mil vezes e descobre coisas novas. ",,,1,0,False
18691062,"Batman: Bruce Wayne, Fugitive",Greg Rucka,"Rucka, Greg","Ed Brubaker, Devin Grayson, Chuck Dixon, Kelley Puckett, Rick Leonardi, Michael Golden, Brian Bolland, Trevor McCarthy, Damion Scott, Scott McDaniel, Dave Ross, William Rosado, Roger Robinson, Sean Phillips, Phil Noto, Steve Leiber, Sergio Cariello, Dennis O'Neil, Geoff Johns",1401246826,9781401246822,4,DC Comics,Paperback,418.0,2014.0,2002.0,2026/02/15,2024/03/31,"comics, read-2026","comics (#52), read-2026 (#5)",read,"é um final muito digno para esse arco, eu simplesmente amei a exploração do personagem do batman e das suas relações com as pessoas na vida dele. pra mim, as melhores histórias são as que não tem medo de fazer isso, de reconhecer os defeitos dele sem perder de vista quem ele é. e eu defenderia a cassandra cain com a minha vida!!",,,1,0,False
