Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
123166205,Wild Like Us (Special Edition Paperback),Krista Ritchie,"Ritchie, Krista",Becca Ritchie,"=""1950165590""","=""9781950165599""",1,K.B. Ritchie LLC,Paperback,462,2023,2020,2022/01/27,2022/01/27,"did-not-finish, read-2022","did-not-finish (#4), read-2022 (#17)",did-not-finish,"DNF @ 38% <br/><br/>this is the most uninteresting romance i’ve ever read with the most uninteresting characters i’ve ever seen, and i’m not even joking. this whole series was a train wreck but at least it was entertaining, this book was just sad to witness.",,,1,0
54189398,"The Spanish Love Deception (Love Deception, #1)",Elena  Armas,"Armas, Elena",,"=""1668002531""","=""9781668002537""",2,Elena Armas,ebook,487,2021,2021,2021/09/30,2021/08/24,"romance, did-not-finish, read-2021","romance (#5), did-not-finish (#3), read-2021 (#110)",did-not-finish,dnf @ 34% oh my fucking god catalina is annoying this whole book is so ANNOYING.,,,1,0
55119872,Black Water Sister,Zen Cho,"Cho, Zen",,"=""0425283437""","=""9780425283431""",0,Ace,Paperback,371,2021,2021,,2021/05/12,"did-not-finish, read-2021","did-not-finish (#2), read-2021 (#97)",did-not-finish,dnf @ 23%,,,0,0
49399658,Counting Down with You,Tashie Bhuiyan,"Bhuiyan, Tashie",,"=""1335209972""","=""9781335209979""",2,Inkyard Press,Hardcover,464,2021,2021,2021/05/04,2021/01/28,"did-not-finish, read-2021","did-not-finish (#1), read-2021 (#65)",did-not-finish,dnf @ 53%<br/><br/>i wanted to love this book so bad,,,1,0
235672421,Star Shipped,Cat Sebastian,"Sebastian, Cat",,"=""0063429586""","=""9780063429581""",0,Avon,Paperback,384,2026,2026,,2026/03/07,"to-read, coming-2026, romance","to-read (#175), coming-2026 (#8), romance (#99)",to-read,,,,0,0
12292260,Kill Anything That Moves: The Real American War in Vietnam (American Empire Project),Nick Turse,"Turse, Nick",,"=""0805086919""","=""9780805086911""",0,Metropolitan Books,Hardcover,370,2013,2013,,2026/03/07,"to-read, nonfiction","to-read (#174), nonfiction (#21)",to-read,,,,0,0
7815,The Year of Magical Thinking,Joan Didion,"Didion, Joan",,"=""1400078431""","=""9781400078431""",0,Vintage,Paperback,227,2007,2005,,2026/03/03,"to-read, nonfiction","to-read (#173), nonfiction (#20)",to-read,,,,0,0
243315012,Fishbone Cinderella,Elizabeth Lim,"Lim, Elizabeth",,"=""""","=""9798217092987""",0,Del Rey,Hardcover,448,2026,2026,,2026/02/28,"to-read, coming-2026, romance","to-read (#172), coming-2026 (#7), romance (#98)",to-read,,,,0,0
22847284,Grokking Algorithms An Illustrated Guide For Programmers and Other Curious People,Aditya Y. Bhargava,"Bhargava, Aditya Y.",,"=""1617292230""","=""9781617292231""",0,Manning Publications Co,Paperback,256,2015,2015,,2026/02/28,"to-read, nonfiction","to-read (#171), nonfiction (#19)",to-read,,,,0,0
30144474,"Batgirl, Vol. 3: Point Blank",Kelley Puckett,"Puckett, Kelley",Various,"=""1401265855""","=""9781401265854""",4,DC Comics,Paperback,288,2017,2003,2026/02/22,2026/02/15,comics,comics (#96),read,,,,1,0
27405513,"Batgirl, Vol. 2: To the Death",Kelley Puckett,"Puckett, Kelley",Various,"=""1401263526""","=""9781401263522""",4,DC Comics,Paperback,320,2016,2002,2026/02/21,2026/02/15,comics,comics (#95),read,,,,1,0
25810117,"Batgirl, Vol. 1: Silent Knight",Kelley Puckett,"Puckett, Kelley","Scott E.  Peterson, Damion Scott, Chuck Dixon, Koi Turnbull, Dale Eaglesham, Mike Deodato, Robert Campanella, Pablo Raimondi","=""1401260721""","=""9781401260729""",4,DC Comics,Paperback,328,2001,2001,2026/02/20,2026/02/15,"comics, read-2026","comics (#97), read-2026 (#3)",read,"te amo cassandra cain!!! tem tantas histórias lindas, a arte deixa a desejar em alguns momentos (efeito dos anos 2000), mas é bonita! a relação da cass e da barbara é uma das minhas partes preferidas",,,1,0
214269353,I Leave It Up to You,Jinwoo Chong,"Chong, Jinwoo",,"=""0593727053""","=""9780593727058""",0,Ballantine Books,Hardcover,311,2025,2025,,2026/02/26,"to-read, romance","to-read (#170), romance (#97)",to-read,,,,0,0
24507092,To Hell and Back: The Last Train from Hiroshima (Asia/Pacific/Perspectives),Charles Pellegrino,"Pellegrino, Charles",,"=""1442250585""","=""9781442250581""",5,Rowman & Littlefield Publishers,Hardcover,432,2015,2010,2026/02/26,2026/02/23,nonfiction,nonfiction (#18),read,"muito bem escrito, partiu meu coração! é aterrorizante pensar que algo assim já aconteceu e pode acontecer de novo. esse livro me fez pensar muito, acho que todos deveriam ler, apesar de ser tão pesado.",,,1,0
61049,Autobiography of Red,Anne Carson,"Carson, Anne",Stesichorus,"=""037570129X""","=""9780375701290""",5,Vintage Books,Paperback,160,1999,1998,2026/02/22,2024/09/16,read-2026,read-2026 (#6),read,"eu amei, é muito emocionante e surpreendente! o tipo de livro que você relê mil vezes e descobre coisas novas. ",,,1,0
18691062,"Batman: Bruce Wayne, Fugitive",Greg Rucka,"Rucka, Greg","Ed Brubaker, Devin Grayson, Chuck Dixon, Kelley Puckett, Rick Leonardi, Michael Golden, Brian Bolland, Trevor McCarthy, Damion Scott, Scott McDaniel, Dave Ross, William Rosado, Roger Robinson, Sean Phillips, Phil Noto, Steve Leiber, Sergio Cariello, Dennis O'Neil, Geoff Johns","=""1401246826""","=""9781401246822""",4,DC Comics,Paperback,418,2014,2002,2026/02/15,2024/03/31,"comics, read-2026","comics (#52), read-2026 (#5)",read,"é um final muito digno para esse arco, eu simplesmente amei a exploração do personagem do batman e das suas relações com as pessoas na vida dele. pra mim, as melhores histórias são as que não tem medo de fazer isso, de reconhecer os defeitos dele sem perder de vista quem ele é. e eu defenderia a cassandra cain com a minha vida!!",,,1,0
106059,"Batman: Bruce Wayne, Murderer?",Greg Rucka,"Rucka, Greg","Chuck Dixon, Steve Lieber, Jesse Delperdang, Trevor McCarthy, Scott McDaniel, Roger Robinson, Damion Scott, Pete Woods, Ed Brubaker, Devin Grayson, Kelley Puckett, Rick Burchett, Rick Leonardi","=""1563899132""","=""9781563899133""",4,DC Comics,Paperback,552,2002,2002,2026/02/13,2024/03/31,read-2026,read-2026 (#4),read,"maravilhosa, gosto muito das histórias do universo do batman dos anos 2000. tem tudo que eu gosto nas hqs do batman: um mistério muito envolvente, os personagens incríveis, uma arte linda e a atmosfera de gotham que eu amo tanto. estou muito ansiosa pra ler o desfecho dessa história!",,,1,0
247292749,"My Dear Detective: Mitsuko’s Case Files, Vol. 7",Natsumi Ito,"Ito, Natsumi",Arthur Miura,"=""1960186310""","=""9781960186317""",5,Omoi,Kindle Edition,,2026,,2026/02/04,2026/02/04,"mangas, read-2026","mangas (#151), read-2026 (#2)",read,"eu amo essa história tanto, mitsuki e saku são tão especiais!!!",,,1,0
230528318,"Absolute Martian Manhunter, Vol. 1: Martian Vision",Deniz Camp,"Camp, Deniz",Javier Rodriguez,"=""1799505219""","=""9781799505211""",0,DC Comics,Paperback,160,2025,2025,,2026/02/02,"to-read, comics","to-read (#169), comics (#94)",to-read,,,,0,0
241039381,The Last Contract of Isako,Fonda Lee,"Lee, Fonda",,"=""0316568635""","=""9780316568630""",0,Orbit,Hardcover,528,2026,2026,,2026/02/02,"to-read, coming-2026","to-read (#168), coming-2026 (#6)",to-read,,,,0,0
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",5,Saga Press,ebook,209,2019,2019,2020/01/02,2020/12/15,read-2020,read-2020 (#1),read,,,,2,0
51398,Teaching Critical Thinking: Practical Wisdom,bell hooks,"hooks, bell",,"=""0415968208""","=""9780415968201""",0,Routledge,Paperback,191,2009,2009,,2026/01/26,"to-read, nonfiction","to-read (#167), nonfiction (#17)",to-read,,,,0,0
250792,Ain't I a Woman: Black Women and Feminism,bell hooks,"hooks, bell",,"=""089608129X""","=""9780896081291""",0,South End Pr,Paperback,205,1981,1981,,2026/01/26,"to-read, nonfiction","to-read (#166), nonfiction (#16)",to-read,,,,0,0
231126917,Cabaret in Flames,Hache Pueyo,"Pueyo, Hache",,"=""1250370450""","=""9781250370457""",0,Tordotcom,Hardcover,160,2026,2026,,2026/01/26,"to-read, coming-2026","to-read (#165), coming-2026 (#5)",to-read,,,,0,0
246999007,Mestra,Madeline Miller,"Miller, Madeline",,"=""1037206126""","=""9781037206122""",0,Bloomsbury,Hardcover,64,2026,2026,,2026/01/26,"to-read, coming-2026","to-read (#164), coming-2026 (#4)",to-read,,,,0,0
239982876,The Last Woman on Earth (The Devil at the End #1),Bex Benjamin,"Benjamin, Bex",,"=""1068269812""","=""9781068269813""",0,,Kindle Edition,344,2025,2025,,2026/01/20,to-read,to-read (#163),to-read,,,,0,0
204642474,Catwoman: Trail of the Catwoman,Ed Brubaker,"Brubaker, Ed",Darwyn Cooke,"=""1779527284""","=""9781779527288""",4,DC Comics,Paperback,336,2024,2008,2026/01/16,2026/01/11,read-2026,read-2026 (#1),read,"muito bom! a selina é uma personagem que apaixona rapidamente pelo seu jeito sarcástico, forte e inteligente e todos os outros personagens também são muito distintos e interessantes.<br/>o enredo não deixa a desejar, é uma história muito envolvente sobre corrupção e as pessoas que são esquecidas e ignoradas pela sociedade, eu achei a mulher-gato uma grande justiceira, amei a jornada dela.<br/>minha única crítica é que o último arco nos deixa querendo mais, mas como introdução da personagem imagino que é essa a intenção. ",,,1,0
235854914,I Hope This Finds You,Ann Liang,"Liang, Ann",,"=""""","=""9798225013813""",0,Scholastic,ebook,103,2025,2025,,2026/01/07,"to-read, romance","to-read (#162), romance (#96)",to-read,,,,0,0
245194290,The Lost Life of Sylvia Song,Ann Liang,"Liang, Ann",,"=""1335008993""","=""9781335008992""",0,HarperCollins US,Hardcover,384,2027,,,2026/01/07,"to-read, coming-2027, romance","to-read (#161), coming-2027 (#1), romance (#95)",to-read,,,,0,0
242079830,Bury Our Bones in the Midnight Soil,V.E. Schwab,"Schwab, V.E.","Marisa Calin, Katie Leung, Julia  Whelan","=""1035064685""","=""9781035064687""",0,Pan Macmillan,Audiobook,19,2025,2025,,2025/12/28,to-read,to-read (#160),to-read,,,,0,0
218689177,Great Big Beautiful Life,Emily Henry,"Henry, Emily",Julia  Whelan,"=""""","=""""",4,Penguin Audio,Audiobook,12,2025,2025,2025/12/06,2024/10/16,"romance, read-2025","romance (#84), read-2025 (#45)",read,"what a beautiful book! definitely one of my favorites among emily henry’s books. after happy place and funny story i thought maybe i wouldn’t be into it anymore, but this book!!! this book!! the story is so interesting, the characters are fleshed out and you can’t stop rooting for them. the audiobook experience is flawless <3",,,1,0
205044632,"The Road of Bones (The Ashen, #1)",Demi Winters,"Winters, Demi",,"=""173899600X""","=""9781738996001""",0,Delacorte Press,Kindle Edition,500,2023,2023,,2025/12/12,to-read,to-read (#159),to-read,,,,0,0
